pixel_id,latitude,longitude,reference_percentile,heat_days,threshold_used,temperature_trend,seasonal_means,annual_max,annual_min,annual_range
2_15,-13.003113737630073,-38.50628465378329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_16,-13.003113737630073,-38.49730150094209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_17,-13.003113737630073,-38.4883183481009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_18,-13.003113737630073,-38.47933519525971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_19,-13.003113737630073,-38.47035204241851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_20,-13.003113737630073,-38.461368889577315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_21,-13.003113737630073,-38.45238573673612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_22,-13.003113737630073,-38.44340258389492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_23,-13.003113737630073,-38.434419431053726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_24,-13.003113737630073,-38.42543627821254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_25,-13.003113737630073,-38.41645312537134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_26,-13.003113737630073,-38.407469972530144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_27,-13.003113737630073,-38.39848681968895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_28,-13.003113737630073,-38.38950366684775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_29,-13.003113737630073,-38.380520514006555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_30,-13.003113737630073,-38.37153736116536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_31,-13.003113737630073,-38.36255420832417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_32,-13.003113737630073,-38.35357105548297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_33,-13.003113737630073,-38.34458790264178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_34,-13.003113737630073,-38.33560474980058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_35,-13.003113737630073,-38.326621596959384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
